epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,219.972,1.51439,2.78259,1.23297,0.00615,0.95333,0.32944,0.16999,1.43562,3.36199,1.09207,0.000539324,0.000539324,0.000539324
2,441.84,1.41176,1.8694,1.1516,0.48401,0.09121,0.4752,0.27129,1.41192,2.9543,1.13765,0.00104079,0.00104079,0.00104079
3,659.101,1.40454,1.64287,1.16498,0.62623,0.40547,0.51362,0.25856,1.66284,2.48812,1.34904,0.00148724,0.00148724,0.00148724
4,876.684,1.40616,1.60035,1.1795,0.55409,0.59975,0.57704,0.33401,1.46587,1.84753,1.24905,0.00141945,0.00141945,0.00141945
5,1241.08,1.3669,1.38728,1.16533,0.65942,0.65579,0.61684,0.34207,1.46992,1.54136,1.27529,0.00133693,0.00133693,0.00133693
