epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.418,1.51439,2.78259,1.23297,0.00615,0.95333,0.32944,0.16999,1.43562,3.36199,1.09207,0.000539324,0.000539324,0.000539324
2,328.563,1.41176,1.8694,1.1516,0.48401,0.09121,0.4752,0.27129,1.41192,2.9543,1.13765,0.00104079,0.00104079,0.00104079
3,481.972,1.40454,1.64287,1.16498,0.62623,0.40547,0.51362,0.25856,1.66284,2.48812,1.34904,0.00148724,0.00148724,0.00148724
4,635.379,1.40616,1.60035,1.1795,0.55409,0.59975,0.57704,0.33401,1.46587,1.84753,1.24905,0.00141945,0.00141945,0.00141945
5,788.495,1.3669,1.38728,1.16533,0.65942,0.65579,0.61684,0.34207,1.46992,1.54136,1.27529,0.00133693,0.00133693,0.00133693
6,943.265,1.33156,1.34629,1.14106,0.5525,0.55564,0.54611,0.30596,1.43216,1.93902,1.21081,0.00125442,0.00125442,0.00125442
7,1098.07,1.3406,1.24444,1.14086,0.5484,0.62522,0.58508,0.31992,1.5113,1.61821,1.251,0.0011719,0.0011719,0.0011719
8,1253.45,1.34396,1.21566,1.1422,0.64269,0.65747,0.64245,0.35352,1.43932,1.40274,1.21682,0.00108938,0.00108938,0.00108938
9,1407.55,1.315,1.12309,1.11971,0.72227,0.66408,0.70048,0.38933,1.51882,1.1453,1.25827,0.00100687,0.00100687,0.00100687
10,1560.79,1.25273,1.05008,1.09929,0.67498,0.71547,0.67726,0.37716,1.44815,1.21945,1.21104,0.000924352,0.000924352,0.000924352
11,1712.55,1.24037,1.14957,1.1182,0.74316,0.71178,0.70808,0.41306,1.41448,1.20338,1.19858,0.000841835,0.000841835,0.000841835
12,1864.25,1.22035,1.02064,1.10284,0.64831,0.73867,0.70884,0.40633,1.42844,1.13574,1.22023,0.000759318,0.000759318,0.000759318
13,2017.26,1.21858,0.97622,1.10765,0.6958,0.72967,0.72987,0.41357,1.41633,1.08431,1.20403,0.000676802,0.000676802,0.000676802
14,2186.31,1.18224,0.93546,1.0842,0.72832,0.73351,0.74477,0.42579,1.45324,1.04312,1.22677,0.000594286,0.000594286,0.000594286
15,2352.03,1.16487,0.8782,1.08495,0.70358,0.75632,0.7572,0.44122,1.39734,1.01348,1.17966,0.000511769,0.000511769,0.000511769
16,2519.15,1.16388,0.85335,1.0602,0.74538,0.71868,0.7614,0.44235,1.39874,0.96735,1.17438,0.000429253,0.000429253,0.000429253
17,2672.42,1.13085,0.79362,1.06796,0.70456,0.75567,0.77375,0.45724,1.36098,0.97883,1.14818,0.000346736,0.000346736,0.000346736
18,2826.67,1.13632,0.78101,1.06844,0.70825,0.77568,0.77619,0.46073,1.36312,0.96183,1.15779,0.00026422,0.00026422,0.00026422
19,2978.35,1.0896,0.74066,1.0516,0.71275,0.75653,0.77091,0.44895,1.38432,0.98084,1.16666,0.000181703,0.000181703,0.000181703
20,3130.04,1.0802,0.72159,1.03818,0.74448,0.72943,0.78057,0.46668,1.35532,0.95995,1.1475,9.91865e-05,9.91865e-05,9.91865e-05
